Scenario,Category,Violation,Number of Offense,Sanction
"A student downloads malicious software onto a lab computer, violating security policies.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student reconfigures lab computers to boot unauthorized operating systems.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student uses the lab computers for excessive personal social media use during study hours.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student violates the lab’s policy on food and drink by spilling a drink on a computer.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student disregards the lab's rule about cleaning up the workstation after use.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student tampers with the computer hardware in the lab by removing components.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student bypasses the lab's account login system to access a computer without proper authorization.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
"A student uses lab computers to access darknet websites, violating university policy.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student misuses lab computers by conducting illegal activities such as identity theft.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
"A student downloads illegal software on lab computers, violating copyright policies.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student shares their login credentials with unauthorized users to access the lab.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student connects unauthorized external storage devices to lab computers.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student uses lab computers to host illegal online content.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student physically destroys lab computer components out of frustration.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student defaces lab computers by removing stickers and tampering with external parts.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
"A student uses lab resources to run a personal business, violating university policy.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
"A student frequently leaves the lab without logging out, violating security guidelines.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student intentionally clogs the lab's printer queue with excessive print jobs.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
"A student connects unauthorized personal devices to the lab's network, against policy.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
"A student deliberately opens pop-up ads on lab computers, creating distractions.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,1st Offense,"Category 2 (Formative Intervention: University Service, Counseling, Discipline Education Program, & Evaluation)"
A student repeatedly enters the lab without signing the required usage log.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student blocks access to a computer in the lab by keeping their personal belongings at the station.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student plays disruptive sound effects on lab computers, disturbing other students.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student transfers confidential university documents onto a personal USB drive without permission.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student repeatedly violates the lab’s policy against streaming personal videos during peak hours.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student installs pirated software on a lab computer, violating copyright law.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student shares lab access credentials with a friend who is not authorized to use the lab.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student violates the lab’s printing policy by printing hundreds of personal documents.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student turns off lab security cameras by tampering with the equipment.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student saves personal files to the lab computers, taking up space meant for academic use.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student uploads unauthorized content to lab computers, bypassing security protocols.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses lab computers to run cryptocurrency mining software.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student takes screenshots of restricted lab software for personal use.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student is caught eating and drinking near computer equipment in the lab, despite a clear policy prohibiting it.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses lab resources to develop and distribute malicious software.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student runs non-academic software that crashes multiple lab computers.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student resets lab computers' security settings, compromising their integrity.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student violates the lab's equipment policy by using a computer to charge personal devices.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student installs a personal firewall on a lab computer, disrupting network traffic.",Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses lab equipment to record unauthorized videos for personal projects.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a lab computer to hack into other students' accounts.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses the lab computers to engage in illegal streaming of copyrighted content.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student ignores the lab policy requiring the proper shutdown of computers after use.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student deliberately damages a lab computer's keyboard by spilling liquid on it.,Violations of Information Technology Policies,Violation of computer laboratory policies and guidelines as stipulated in Section X.F.,2nd Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses a restricted server by exploiting a security vulnerability.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a stolen password to access confidential email accounts on the university network.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses a restricted project database by pretending to be part of the research team.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student disables a university computer’s security software to install unauthorized programs.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student exploits a bug in the university's system to gain access to restricted files.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student creates fake admin credentials to gain full access to the university’s computer systems.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student installs malware on a university computer to gain remote access later.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses another student’s login information to access their personal files on a university computer.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a stolen university ID card to log into restricted areas of the network.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses the university's email server to send spam emails.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses restricted library databases that are meant for faculty use only.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses confidential payroll information by exploiting a security loophole.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student sets up an unauthorized proxy server to bypass the university’s web restrictions.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student installs keylogging software on a university computer to capture login details.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses restricted building control systems through the university network.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student creates a phishing website to steal students' login information from the university network.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a professor's account to upload malicious files onto the university’s server.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a professor’s credentials to access the university’s virtual learning environment.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student installs unauthorized network monitoring tools on a university computer to intercept traffic.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student installs spyware on a university network to monitor confidential communications.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a staff member’s credentials to access confidential academic records.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses social engineering techniques to get a university IT admin's login credentials.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student illegally downloads copyrighted research papers from the university network.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student downloads sensitive research data from a restricted university network.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses an internal university network to change attendance logs.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student steals a faculty member’s account to access a restricted area on the university portal.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student bypasses the university firewall to access restricted websites.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses a university server room using a stolen key card.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student manipulates the login portal to gain access to confidential faculty information.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses private medical records stored on university servers.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses university resources to brute-force access to password-protected accounts.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student hacks into the campus Wi-Fi network to bypass access restrictions.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student impersonates an IT admin to gain access to restricted systems.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student logs into a professor’s account using a brute-force attack.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student exploits a vulnerability in the university’s online portal to steal other students' data.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student connects to a faculty-only network by spoofing their device’s MAC address.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student alters their network settings to gain access to admin-only systems.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a stolen university account to access restricted academic resources.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student logs into a university research server to download unpublished data.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses the university’s attendance system to falsify records.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student hacks into the university's online portal to post false announcements.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student gains access to the university’s online grading system without permission.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses confidential exam information stored in the university system without authorization.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student breaks into the university's computer systems and alters stored financial records.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a backdoor they created to maintain unauthorized access to the university network.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses a restricted university database without the necessary permissions.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student bypasses the university’s password reset system to gain access to protected accounts.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student cracks the university’s VPN to gain remote access to restricted systems.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a stolen access token to gain entry into secure university servers.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses university Wi-Fi to hack into restricted university data servers.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a packet sniffer to capture confidential information from the university network.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses and modifies server logs to erase evidence of unauthorized access.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student gains unauthorized access to campus security footage stored on the network.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student attempts to crack the password of the university's internal network system.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student sends a fraudulent email pretending to be from university IT support to gain unauthorized access.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student uses a botnet to overwhelm the university's network, causing a denial of service.",Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a stolen database key to access the university’s encrypted files.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student sets up a rogue Wi-Fi access point to intercept university network traffic.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student breaks into a secure lab and accesses restricted research computers.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses a phishing attack to acquire the login credentials of university staff.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses restricted information on the university’s cloud system without permission.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student clones a university staff ID card to gain physical access to restricted computer areas.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses a professor's lecture notes stored on a restricted server.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student creates a fake student account to gain unauthorized access to university computers.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student sets up a rogue server within the university network to spy on network traffic.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses the university’s secure research server without proper authorization.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student creates a fake university account to access restricted areas of the network.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student manipulates their own access privileges to view restricted financial data.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses an unauthorized script to scrape confidential information from a university database.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student logs into a university server using credentials they obtained illegally.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student gains access to restricted lab data stored on university servers without authorization.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student uses someone else’s account to modify their grades in the university database.,Violations of Information Technology Policies,Accessing a university computer or computer network without authority or beyond authorized access.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student changes all group project members’ contributions to falsely claim credit for the entire work.,Violations of Information Technology Policies,"Committing acts that constitute computer security breach, such as but not limited to the following:
a. Altering information (e.g., changing the password of someone else’s account, changing the data in files beyond one’s authorized access, etc.), damaging or destroying information (e.g., deleting someone else’s file, etc.).
b. Introducing false information (e.g., using someone else’s account and sending offensive mail, cyber bullying, etc.).
c. Preventing the authorized use of one’s data or information.
d. Preventing normal operation of computers networks of the University (e.g., changing the configuration or CMOS set-up of a PC, introducing computer virus, etc.).",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student deletes all files from a class group’s shared cloud storage without notifying others.,Violations of Information Technology Policies,"Committing acts that constitute computer security breach, such as but not limited to the following:
a. Altering information (e.g., changing the password of someone else’s account, changing the data in files beyond one’s authorized access, etc.), damaging or destroying information (e.g., deleting someone else’s file, etc.).
b. Introducing false information (e.g., using someone else’s account and sending offensive mail, cyber bullying, etc.).
c. Preventing the authorized use of one’s data or information.
d. Preventing normal operation of computers networks of the University (e.g., changing the configuration or CMOS set-up of a PC, introducing computer virus, etc.).",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student accesses a university server and deletes old thesis submissions.,Violations of Information Technology Policies,"Committing acts that constitute computer security breach, such as but not limited to the following:
a. Altering information (e.g., changing the password of someone else’s account, changing the data in files beyond one’s authorized access, etc.), damaging or destroying information (e.g., deleting someone else’s file, etc.).
b. Introducing false information (e.g., using someone else’s account and sending offensive mail, cyber bullying, etc.).
c. Preventing the authorized use of one’s data or information.
d. Preventing normal operation of computers networks of the University (e.g., changing the configuration or CMOS set-up of a PC, introducing computer virus, etc.).",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student alters lab data in a shared research document without notifying the team.,Violations of Information Technology Policies,"Committing acts that constitute computer security breach, such as but not limited to the following:
a. Altering information (e.g., changing the password of someone else’s account, changing the data in files beyond one’s authorized access, etc.), damaging or destroying information (e.g., deleting someone else’s file, etc.).
b. Introducing false information (e.g., using someone else’s account and sending offensive mail, cyber bullying, etc.).
c. Preventing the authorized use of one’s data or information.
d. Preventing normal operation of computers networks of the University (e.g., changing the configuration or CMOS set-up of a PC, introducing computer virus, etc.).",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student deletes files from a shared lab computer after unauthorized access.,Violations of Information Technology Policies,"Committing acts that constitute computer security breach, such as but not limited to the following:
a. Altering information (e.g., changing the password of someone else’s account, changing the data in files beyond one’s authorized access, etc.), damaging or destroying information (e.g., deleting someone else’s file, etc.).
b. Introducing false information (e.g., using someone else’s account and sending offensive mail, cyber bullying, etc.).
c. Preventing the authorized use of one’s data or information.
d. Preventing normal operation of computers networks of the University (e.g., changing the configuration or CMOS set-up of a PC, introducing computer virus, etc.).",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student erases video files from a class’s shared video repository.,Violations of Information Technology Policies,"Committing acts that constitute computer security breach, such as but not limited to the following:
a. Altering information (e.g., changing the password of someone else’s account, changing the data in files beyond one’s authorized access, etc.), damaging or destroying information (e.g., deleting someone else’s file, etc.).
b. Introducing false information (e.g., using someone else’s account and sending offensive mail, cyber bullying, etc.).
c. Preventing the authorized use of one’s data or information.
d. Preventing normal operation of computers networks of the University (e.g., changing the configuration or CMOS set-up of a PC, introducing computer virus, etc.).",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
